category,title,author,year,isbn
Fiction,Where the Crawdads Sing,Delia Owens,2018,9780735219090
Fiction,The Midnight Library,Matt Haig,2020,9780525559474
Fiction,Lessons in Chemistry,Bonnie Garmus,2022,9780385547345
Fiction,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,2022,9780593321201
Fiction,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2017,9781501161933
Fiction,The Kite Runner,Khaled Hosseini,2003,9781594631931
Fiction,Demon Copperhead,Barbara Kingsolver,2022,9780063251922
Fiction,James,Percival Everett,2024,9780385550369
Fiction,The Women,Kristin Hannah,2024,9781250178633
Fiction,A Man Called Ove,Fredrik Backman,2012,9781476738024
Fiction,Life of Pi,Yann Martel,2001,9780156027328
Fiction,The Alchemist,Paulo Coelho,1988,9780062315007
Fiction,Normal People,Sally Rooney,2018,9781984822178
Fiction,Little Fires Everywhere,Celeste Ng,2017,9780735224292
Fiction,The God of the Woods,Liz Moore,2024,9780593915370
Fiction,The Covenant of Water,Abraham Verghese,2023,9780802162175
Fiction,Klara and the Sun,Kazuo Ishiguro,2021,9780593318171
Fiction,Eleanor Oliphant Is Completely Fine,Gail Honeyman,2017,9780735220690
Fiction,Intermezzo,Sally Rooney,2024,9780571365470
Fiction,The Road,Cormac McCarthy,2006,9780307387899
Mystery & Thriller,Gone Girl,Gillian Flynn,2012,9780307588371
Mystery & Thriller,The Silent Patient,Alex Michaelides,2019,9781250301697
Mystery & Thriller,The Thursday Murder Club,Richard Osman,2020,9781984880963
Mystery & Thriller,The Girl with the Dragon Tattoo,Stieg Larsson,2005,9780307454546
Mystery & Thriller,The Da Vinci Code,Dan Brown,2003,9780307474278
Mystery & Thriller,And Then There Were None,Agatha Christie,1939,9780062073488
Mystery & Thriller,The Housemaid,Freida McFadden,2022,9780349132853
Mystery & Thriller,Murder on the Orient Express,Agatha Christie,1934,9780062693662
Mystery & Thriller,The Girl on the Train,Paula Hawkins,2015,9781594634024
Mystery & Thriller,Big Little Lies,Liane Moriarty,2014,9780399167065
Mystery & Thriller,Holly,Stephen King,2023,9781668016138
Mystery & Thriller,The Guest List,Lucy Foley,2020,9780062868930
Mystery & Thriller,The Last Thing He Told Me,Laura Dave,2021,9781501171345
Mystery & Thriller,In the Woods,Tana French,2007,9780143113492
Mystery & Thriller,Magpie Murders,Anthony Horowitz,2016,9780062645227
Mystery & Thriller,Rebecca,Daphne du Maurier,1938,9780380730407
Mystery & Thriller,The Big Sleep,Raymond Chandler,1939,9780394758282
Mystery & Thriller,The Talented Mr. Ripley,Patricia Highsmith,1955,9780393332148
Mystery & Thriller,The Maltese Falcon,Dashiell Hammett,1930,9780679722649
Mystery & Thriller,Everyone on This Train Is a Suspect,Benjamin Stevenson,2024,9780063359772
Science Fiction,Dune,Frank Herbert,1965,9780441172719
Science Fiction,Project Hail Mary,Andy Weir,2021,9780593135204
Science Fiction,The Martian,Andy Weir,2011,9780553418026
Science Fiction,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,9780345391803
Science Fiction,The Three-Body Problem,Cixin Liu,2008,9780765382030
Science Fiction,Ender's Game,Orson Scott Card,1985,9780812550702
Science Fiction,Foundation,Isaac Asimov,1951,9780553293357
